Block,Row,Table,Panel,Seriel,"V oc","I sc","V mppt","I mppt",Maxpower,Fillfactor
1,1,1,1,14BP606022048386,38.352,9.114,31.272,8.571,268.025,0.767
1,1,1,2,147P606021062851,38.098,9.003,31.017,8.449,262.059,0.764
1,1,1,3,147P606021049729,37.773,8.981,30.611,8.433,258.13,0.761
1,1,1,4,147P606021062838,38.094,9.026,30.989,8.469,262.433,0.763
1,1,1,5,147P606021062752,38.078,9.007,30.967,8.476,262.468,0.765
1,1,1,6,147P606021062859,37.96,9.011,30.84,8.469,261.184,0.764
1,1,1,7,147P606021064612,37.996,8.984,30.927,8.457,261.546,0.766
1,1,1,8,147P606021062770,37.966,8.984,30.878,8.451,260.949,0.765
1,1,1,9,147P606021063762,38.017,9.004,30.906,8.47,261.783,0.765
1,1,1,10,147P606021062771,37.924,8.98,30.863,8.448,260.744,0.766
1,1,1,11,147P606021062844,38.009,9.024,30.91,8.483,262.214,0.764
1,1,1,12,14BP606022143030,38.151,9.021,31.208,8.478,264.583,0.769
1,1,1,13,147P606021062753,37.963,9.05,30.82,8.479,261.318,0.761
1,1,1,14,14BP606022143432,38.088,9.005,31.16,8.453,263.413,0.768
1,1,1,15,147P606021062841,38.026,9.017,30.889,8.467,261.554,0.763
1,1,1,16,147P606021063779,38.042,9.05,30.928,8.473,262.058,0.761
1,1,1,17,147P606021049838,37.859,8.983,30.838,8.448,260.512,0.766
1,1,1,18,147P606021063923,38.004,9.076,30.92,8.489,262.464,0.761
1,1,1,19,147P606021064646,37.984,9.034,30.909,8.49,262.406,0.765
1,1,1,20,147P606021049732,37.924,8.975,30.84,8.451,260.627,0.766
1,1,1,21,147P606021064585,37.97,9.05,30.913,8.481,262.186,0.763
1,1,1,22,147P606021049866,38.006,8.992,30.842,8.465,261.066,0.764
1,1,1,23,147P606021064594,38.003,8.976,31.003,8.464,262.419,0.769
1,1,1,24,147P606021063896,37.927,9.112,30.858,8.498,262.213,0.759
1,1,1,25,147P606021064607,37.98,9.007,30.94,8.48,262.36,0.767
1,1,1,26,147P606021049449,37.939,9.056,30.767,8.49,261.224,0.76
1,1,1,27,147P606021064715,38.006,8.994,30.935,8.48,262.321,0.767
1,1,1,28,147P606021049448,37.951,9.046,30.828,8.48,261.418,0.761
1,1,1,29,147P606021064621,37.997,8.979,30.89,8.427,260.318,0.763
1,1,1,30,147P606021064736,38.094,9.041,31.011,8.466,262.533,0.762
1,1,1,31,147P606021064680,38.024,8.999,30.939,8.46,261.751,0.765
1,1,1,32,147P606021064731,38.055,9.01,30.993,8.461,262.228,0.765
1,1,1,33,147P606021064627,38.013,8.956,30.91,8.416,260.131,0.764
1,1,1,34,147P606021064735,38.053,9.035,30.954,8.484,262.602,0.764
1,1,1,35,147P606021064679,38.011,9.025,30.919,8.469,261.843,0.763
1,1,1,36,147P606021064643,38.052,9.004,30.996,8.467,262.45,0.766
1,1,1,37,147P606021062744,37.994,9.015,30.851,8.478,261.54,0.764
1,1,1,38,147P606021064315,38.046,9.002,31.043,8.459,262.604,0.767
1,1,1,39,147P606021062783,38.05,9.033,30.979,8.466,262.256,0.763
1,1,1,40,147P606021049836,37.873,9.015,30.835,8.458,260.818,0.764
1,1,2,1,147P606021061362,38.27,8.996,31.201,8.459,263.941,0.767
1,1,2,2,147P606021061333,38.352,8.986,31.294,8.44,264.124,0.766
1,1,2,3,147P606021064507,38.039,9.046,30.883,8.477,261.799,0.761
1,1,2,4,147P606021061452,38.346,9.026,31.246,8.49,265.294,0.767
1,1,2,5,147P606021064616,38.06,8.972,30.939,8.426,260.691,0.763
1,1,2,6,147P606021061403,38.317,9.006,31.169,8.47,264.016,0.765
1,1,2,7,147P606021064617,37.994,9.015,30.922,8.492,262.585,0.767
1,1,2,8,147P606021061487,38.342,9.009,31.075,8.471,263.23,0.762
1,1,2,9,147P606021064292,37.998,8.999,30.961,8.456,261.803,0.766
1,1,2,10,147P606021061486,38.308,9.014,31.029,8.476,263.014,0.762
1,1,2,11,147P606021064410,38.033,9.016,30.979,8.469,262.366,0.765
1,1,2,12,147P606021061391,38.345,8.976,31.295,8.458,264.695,0.769
1,1,2,13,147P606021064514,38.012,9.004,30.953,8.47,262.164,0.766
1,1,2,14,147P606022289405,37.994,8.965,30.757,8.438,259.516,0.762
1,1,2,15,147P606021064289,37.958,9.031,30.869,8.486,261.952,0.764
1,1,2,16,147P606022289094,37.952,9.056,30.79,8.481,261.135,0.76
1,1,2,17,147P606021064748,37.994,9,30.878,8.449,260.875,0.763
1,1,2,18,147P606021064519,37.97,9.005,30.955,8.446,261.453,0.765
1,1,2,19,147P606021064450,37.95,8.985,30.906,8.462,261.515,0.767
